Are_Donations_Deductable,City,EIN,Fiscal_Year_End,In_Care_Of,Is_Org_Private,Latest_Report,Org_Name,Ruling_Date,State,Street_Address,Subsection,Total_Assets,Total_Revenues,ZIP
Yes,New York,133176952,06,% SISTER MARION AGNES DANIEL,Yes,201306,NAZARETH HOUSING INC,199508,New York,519 East 11th Street,501(c)(3),1759371.0,1840748.0,10009
Yes,New York,133177008,08,None Shown,No,201308,FOUNDATION FOR INTERVENTIONAL CARDIOLOGY INC,198411,New York,920 Broadway Fl 6,501(c)(3),17869.0,0.0,10010
Yes,New York,133177796,06,% SCHULTE ROTH & ZABEL,No,201306,RECONSTRUCTIVE SURGERY FOUNDATION INC,198503,New York,65 E 66th St,501(c)(3),110181.0,0.0,10065
Yes,New York,133178045,07,None Shown,No,0,YESHIVA NACHLAT MOSHE INC,198310,New York,568 Broadway,501(c)(3),0.0,0.0,10012
Yes,New York,133179151,06,None Shown,Yes,201306,ONE TO WORLD INC,198411,New York,285 W Broadway Rm 450,501(c)(3),861075.0,1058200.0,10013
Yes,New York,133179312,06,% POSTGRADUATE CTR MENTAL HEALTH,Yes,201306,POSTGRADUATE CENTER RESIDENCE INC,198709,New York,158 E 35th St,501(c)(3),752631.0,303419.0,10016
Yes,New York,133179546,06,% GORDON SINGH,Yes,201306,FOOD BANK FOR NEW YORK CITY,198311,New York,39 Broadway Fl 10,501(c)(3),23562607.0,73673427.0,10006
Yes,New York,133179618,06,None Shown,Yes,201306,LITERACY ASSISTANCE CENTER,198810,New York,39 Broadway Rm 1250,501(c)(3),1423785.0,2346597.0,10006
Yes,New York,133179680,12,% ALAN N SUSSMAN CPA,No,201212,MOOD DISORDERS SUPPORT GROUP INC,198909,New York,Po Box 30377,501(c)(3),88063.0,49220.0,10011
Yes,New York,133180628,12,% JOAN BAEKELAND,No,201212,THE GEORGE BALANCHINE FOUNDATION INC,198404,New York,20 Lincoln Center Plaza,501(c)(3),144618.0,148416.0,10023
Yes,New York,133180806,12,% SELZ CAPITAL,No,201312,THE SELZ FOUNDATION,198311,New York,1370 Avenue Of The Americas Fl 24,501(c)(3),93698796.0,0.0,10019
Yes,New York,133181247,12,% BRADFORD R KLATT SCHULTE ROTH,No,201312,FRIEDMAN FAMILY FOUNDATION,198311,New York,500 Seventh Avenue 7th Flr,501(c)(3),1522966.0,0.0,10018
Yes,New York,133181937,05,None Shown,Yes,201305,GREATER NY OVEREATERS ANONYMOUS INTERGROUP,198603,New York,Po Box 1235,501(c)(3),21325.0,68806.0,10159
Yes,New York,133182161,12,% METIS GROUP LLC,No,201312,THE OLGA FORRAI FOUNDATION INC,198612,New York,14 Penn Plz Ste 1800,501(c)(3),420164.0,0.0,10122
Yes,New York,133182633,06,None Shown,No,201306,PETER S KALIKOW FOUNDATION INC,198404,New York,101 Park Avenue 25th Floor,501(c)(3),30381.0,0.0,10178
No,New York,133183002,12,None Shown,Yes,201312,ARAB BANKERS ASSOCIATION OF NORTH AMERICA INC,198401,New York,150 W 28th St Ste 801,501(c)(6),741678.0,845483.0,10001
Yes,New York,133183344,06,None Shown,Yes,201306,SINERGIA INC,198311,New York,2082 Lexington Ave Fl 4,501(c)(3),3440004.0,8319353.0,10035
Yes,New York,133183707,12,% RICHARD DODD,No,201312,THE EAST 11TH STREET BLOCK ASSOCIATION INC,200007,New York,16 East 11th Street,501(c)(3),0.0,0.0,10003
Yes,New York,133184198,12,% SANDRA GRANT,Yes,201212,ROGOSIN INSTITUTE INC,200004,New York,5046 East 74th St 5th Fl,501(c)(3),53441870.0,71913456.0,10021
Yes,New York,133185114,06,% JOHN BRODERICK,Yes,201306,CITY FUTURES INC,198402,New York,120 Wall St Fl 20,501(c)(3),735726.0,872883.0,10005
Yes,New York,133185308,09,None Shown,No,0,SUNG-BUL SA KOREAN CHOGYE BUDDHIST TEMPLE OF NY INC,198401,New York,168 Thompson St,501(c)(3),0.0,0.0,10012
No,New York,133185324,12,% ALAN BORTHWICK,No,201312,WORLD SHIP SOCIETY PORT OF NY,198404,New York,90 La Salle St Apt 8f,501(c)(4),0.0,0.0,10027
Yes,New York,133185340,06,None Shown,Yes,201306,MORNINGSIDE CENTER FOR TEACHING SOCIAL RESPONSIBILITY INC,198905,New York,475 Riverside Dr Ste 550,501(c)(3),1414624.0,3040901.0,10115
Yes,New York,133185431,04,None Shown,No,0,NEW HARLEM CHRISTIAN CENTER CHURCH OF CHRIST,198402,New York,1309 Fifth Ave Suite 348,501(c)(3),0.0,0.0,10029
Yes,New York,133185588,12,None Shown,No,201212,WORLD FUND INC,198810,New York,119 W 72nd St,501(c)(3),617539.0,44310.0,10023
Yes,New York,133185696,12,% PAN AM EQUITIES INC,No,201212,FRAYDUN FOUNDATION INC,198603,New York,18 E 50th St,501(c)(3),6960550.0,0.0,10022
Yes,New York,133185808,06,None Shown,Yes,201306,NATIONAL ASSOCIATION ON DRUG ABUSE PROBLEMS NEW YORK STATE INC,198612,New York,355 Lexington Ave Fl 2,501(c)(3),2598613.0,11684671.0,10017
Yes,New York,133187021,12,None Shown,Yes,201212,NORTH AMERICAN CONFERENCE ON ETHIOPIAN JEWRY INC,198207,New York,On Ethiopian Jewry,501(c)(3),1757289.0,2310029.0,10018
Yes,New York,133187080,03,None Shown,No,0,DILGO KHYENTSE FELLOWSHIP,198402,New York,36 W 20th St Fl 2,501(c)(3),0.0,0.0,10011
Yes,New York,133187792,12,None Shown,Yes,201212,ASIAN AMERICANS FOR EQUALITY INC,198604,New York,2 Allen Street 7fl,501(c)(3),7501466.0,3764625.0,10002
Yes,New York,133187997,11,% MCGLADREY LLP,No,201211,LEE ROMNEY FOUNDATION INC,198403,New York,1185 6th Ave,501(c)(3),284933.0,0.0,10036
Yes,New York,133188770,12,None Shown,No,201312,GRAPHIC ARTISTS GUILD FOUNDATION INC,198404,New York,32 Broadway,501(c)(3),7927.0,65.0,10004
No,New York,133188771,12,% A MCGOVERN PRICE WATERHOUSE 36 FL,Yes,201312,NYHR PEOPLE & STRATEGY INC,200710,New York,459 Columbus Ave Pmb 357,501(c)(6),118691.0,69054.0,10024
Yes,New York,133188773,12,% SWIG WEILER & ARNOW,No,201212,THE ARNOW FAMILY FUND INC,198402,New York,675 3rd Ave Fl 27,501(c)(3),21187251.0,0.0,10017
Yes,New York,133188835,12,None Shown,No,201312,HEART AND HAND SOCIETY INC,198502,New York,319 E 50th Street,501(c)(3),3175.0,40051.0,10022
No,New York,133189609,06,% GOULD & KOBRICK PC,No,201306,COURT EMPLOYEES HEADQUARTERS CORP,199904,New York,321 Broadway,Other,0.0,0.0,10007
Yes,New York,133189926,12,None Shown,Yes,201212,VISITING NURSE SERVICE OF NEW YORK,198502,New York,107 E 70th St,501(c)(3),911191851.0,64400012.0,10021
Yes,New York,133190220,10,% DAVID J SILVERMAN,No,201310,THE EASTON FOUNDATION INC,198404,New York,420 W 14 St Ste 7th Fl N,501(c)(3),71597932.0,0.0,10014
Yes,New York,133190504,12,% DR SUSAN HERMAN,Yes,201312,PSYCHOANALYTIC SOCIETY OF THE POSTDOCTORAL PROGRAM INC,199207,New York,98 Riverside Dr Ste 10f,501(c)(3),191748.0,55414.0,10024
No,New York,133190575,12,% TERESA A KRUSZEWSKI,No,201312,AMERICAN SOCIETY OF MEDIA PHOTOGRAPHERS INC,198803,New York,509 E 78th St Apt 1b,501(c)(6),0.0,0.0,10075
Yes,New York,133190911,11,% BEAR STEARNS & CO,No,201311,THE EDLOW FAMILY FUND INC,198502,New York,35 E 85th St Apt 5e,501(c)(3),11618004.0,0.0,10028
Yes,New York,133190945,07,% TURF COMPANY INC,Yes,201307,EAST VILLAGE CHILD CARE CENTER INC,198506,New York,297 E 10th Street,501(c)(3),73153.0,145231.0,10009
Yes,New York,133191113,12,None Shown,Yes,201212,PUBLIC INTEREST PROJECTS INC,198407,New York,Fl 6,501(c)(3),19399248.0,43722631.0,10018
Yes,New York,133191398,12,None Shown,Yes,201312,ITALIAN AMERICAN COMMITTEE ON EDUCATION INC,198509,New York,686 Park Avenue Ll,501(c)(3),74.0,1274587.0,10065
Yes,New York,133191816,06,None Shown,No,201306,NEW DANCE ALLIANCE INC,198710,New York,182 Duane Street,501(c)(3),18626.0,47419.0,10013
Yes,New York,133192220,11,% ARTHUR FOX CPA,No,201311,GOLDSTEIN FAMILY FOUNDATION,198410,New York,420 Lexington Ave Rm 1733,501(c)(3),12749221.0,0.0,10170
Yes,New York,133192504,06,None Shown,No,201306,SPITI HOUSING DEVELOPMENT FUND COMPANY INC,199404,New York,49 W 45th St Fl 4,501(c)(3),2882628.0,195251.0,10036
Yes,New York,133192793,06,None Shown,Yes,201306,THE MIDTOWN MANAGEMENT GROUP INC,198404,New York,630 9th Ave Ste 802,501(c)(3),188969.0,652417.0,10036
Yes,New York,133192845,10,% ODED ABOODY,No,201310,WANG FAMILY CHARITABLE FOUNDATION,198403,New York,Po Box 5028,501(c)(3),1185319.0,0.0,10150
Yes,New York,133192850,11,% JEANNE SORENSEN-LEFF,No,201311,THE JEANNE SORENSEN-SIEGEL FOUNDATION INC,198402,New York,781 5th Ave Apt 605,501(c)(3),985289.0,0.0,10022
Yes,New York,133193119,06,% SANCTUARY FOR FAMILIES INC,Yes,201306,SANCTUARY FOR FAMILIES INC,198709,New York,40 Exchange Pl Fl 10,501(c)(3),9632591.0,14216184.0,10005
Yes,New York,133193296,06,None Shown,Yes,201306,THE JEWISH INSTITUTE FOR THE BLIND JERUSALEM INC,198406,New York,185 Madison Avenue,501(c)(3),94074.0,68211.0,10016
Yes,New York,133193349,03,% STEPHANIE A CONNOR,No,201303,THE AMERICAN FRIENDS OF ST PAULS,198908,New York,252 7th Ave Apt 17n,501(c)(3),0.0,0.0,10001
Yes,New York,133193351,12,None Shown,Yes,201312,FRIENDS OF THE UPPER EAST SIDE HISTORIC DISTRICT INC,198402,New York,966 Lexington Ave Apt 3e,501(c)(3),129437.0,290728.0,10021
Yes,New York,133193376,07,None Shown,Yes,201307,THEATER BREAKING THROUGH BARRIERS CORP,198408,New York,306 W 18th St Apt 3a,501(c)(3),48463.0,284573.0,10011
Yes,New York,133193737,08,% WINDELS MARX,No,201308,BETTY PARSONS FOUNDATION,198406,New York,C/o Windels Marx / 156 West 56th St,501(c)(3),2185504.0,0.0,10019
Yes,New York,133194659,06,None Shown,Yes,201306,COLUMBIA GREENHOUSE NURSERY SCHOOL,198107,New York,404 W 116th St,501(c)(3),1403085.0,1496276.0,10027
Yes,New York,133194943,10,% YMS MANAGEMENT ASSOC INC,No,201210,HERMANOS FRATERNOS DE LOIZA ALDEA,200004,New York,1385 5th Ave Apt 12g,501(c)(3),1.0,2800.0,10029
Yes,New York,133195225,12,None Shown,No,0,EVANGELICAL LUTHERAN CHURCH OF CHRIST,198804,New York,123 E 15th St,501(c)(3),0.0,0.0,10003
Yes,New York,133195526,06,% STERN ODILE,No,201206,PARENTS OF MURDERED CHILDREN OF NEW YORK STATE INC,198404,New York,26 W 84th St,501(c)(3),0.0,0.0,10024
Yes,New York,133195926,12,None Shown,No,0,MISION EVANGELICA PENTECOSTAL INC,198802,New York,882 10th Ave # 884,501(c)(3),0.0,0.0,10019
Yes,New York,133195928,11,% INGALLS SNYDER,No,201311,POLLOCK FOUNDATION,198408,New York,Ingalls Snyder - 61 Broadway,501(c)(3),528383.0,0.0,10006
Yes,New York,133196251,12,None Shown,Yes,201312,NATIONAL MUSIC THEATRE NETWORK INC,198405,New York,250 W 49th Street,501(c)(3),61014.0,1529355.0,10019
Yes,New York,133196328,06,None Shown,No,201306,INSTITUTE HOMECARE SERVICES INC,199212,New York,23 Nagle Ave,501(c)(3),31727.0,7131.0,10040
No,New York,133196564,12,None Shown,Yes,201312,SYNDICATED NETWORK TELEVISION ASSOCIATION INC,198701,New York,630 5th Ave Ste 2320,501(c)(6),2127673.0,2086900.0,10111
Yes,New York,133197187,06,None Shown,No,201306,THE AVENUE ASSOCIATION INC,198403,New York,40 W 57th St Fl 20,501(c)(3),957.0,0.0,10019
Yes,New York,133197666,03,% RY MANAGEMENT CO INC,No,201203,ORDER SONS OF ITALY IN AMERICA HOUSING CORP,198403,New York,1619 Third Ave,501(c)(3),1.0,0.0,10128
Yes,New York,133197903,04,% POLINA KLIMOVITSKAYA,No,201404,TERRA INCOGNITA INC,198403,New York,7 E 14th St Apt 1530,501(c)(3),0.0,0.0,10003
Yes,New York,133197949,12,None Shown,Yes,201312,NATIONAL COALITION AGAINST CENSORSHIP INC,198608,New York,19 Fulton St Rm 407,501(c)(3),1003071.0,741405.0,10038
Yes,New York,133198247,12,% MARCUM & KLIEGMAN LLP,No,201312,PETER K BARKER FOUNDATION,198404,New York,77 Water St Ste 9th Fl,501(c)(3),2734675.0,0.0,10005
Yes,New York,133199597,12,% SAGE CAPITAL MGMT,No,201212,RONALD & ADELE TAUBER FOUNDATION,198509,New York,767 Third Ave 23-b,501(c)(3),222307.0,0.0,10017
Yes,New York,133199938,08,% BCRS ASSOCIATES LLC,No,201308,THE KATZ FAMILY FOUNDATION,198509,New York,Reitman Belkin 420 Lexington Ave,501(c)(3),29386.0,0.0,10170
Yes,New York,133200228,12,% GUSTAVUS ADOLFUS LUTHERAN CHURCH,No,201112,THE LITTLE SYNAGOGUE CONGREGATION TEL AVIV INC,198609,New York,155 E 22nd St,501(c)(3),0.0,0.0,10010
Yes,New York,133200329,12,% MGI REPETTI LLP,No,201312,LIZ CLAIBORNE & ART ORTENBERG FOUNDATION,198508,New York,650 5th Ave Fl 15,501(c)(3),40821828.0,0.0,10019
No,New York,133200587,12,% ELIZABETH FARBER BERNHARDT,No,201312,AMERICAN BROTHERLY AID ASSOCIATION INC,201409,New York,924 W End Ave Apt 53,501(c)(4),25248.0,279.0,10025
Yes,New York,133200666,09,% CLAIRE MERLINO,No,201209,COUNT ME IN FOR WOMENS ECONOMIC INDEPENDENCE INC,198905,New York,240 Central Park S Apt 7h,501(c)(3),1084501.0,2335492.0,10019
Yes,New York,133201280,12,None Shown,No,201312,ALEXIS GREGORY FOUNDATION,198404,New York,1334 York Ave Fl 3,501(c)(3),2694918.0,0.0,10021
Yes,New York,133201819,06,None Shown,No,201306,PERSIAN HERITAGE FOUNDATION,198406,New York,450 Riverside Drive Suite 24,501(c)(3),9775549.0,0.0,10027
Yes,New York,133202011,12,None Shown,Yes,201212,NEW YORK CITY PARTNERSHIP FOUNDATION INC,199007,New York,One Battery Park Plaza Ste 5th Fl,501(c)(3),41915732.0,3172423.0,10004
Yes,New York,133202014,12,None Shown,Yes,201212,HOUSING PARTNERSHIP DEVELOPMENT CORPORATION HPDC,198410,New York,242 West 36th Street,501(c)(3),6230649.0,2800283.0,10018
Yes,New York,133202018,12,None Shown,No,201212,NYC PARTNERSHIP HOUSING DEVELOPMENT FUND COMPANY INC,198409,New York,242 W 36th St Frnt 3,501(c)(3),383416.0,0.0,10018
Yes,New York,133202043,03,% BARBARA SIWULA,Yes,201403,LAWYERS FOR CHILDREN INC,198407,New York,110 Lafayette Street,501(c)(3),1325426.0,7330613.0,10013
Yes,New York,133202048,10,None Shown,No,0,LA CASA DE DIOS,198504,New York,Po Box 33,501(c)(3),0.0,0.0,10029
Yes,New York,133202053,06,% A B P,Yes,201306,THE BUSINESS PRESS EDUCATIONAL FOUNDATION INC,198404,New York,675 Third Avenue,501(c)(3),276077.0,47401.0,10017
Yes,New York,133202137,12,% FRED J GITNER,No,201312,AMERICAN SOCIETY OF THE FRENCH ACADEMIC PALMS INC,198602,New York,382 Central Park West-12 J,501(c)(3),0.0,0.0,10025
Yes,New York,133202264,10,% DR P DEBORAH WEISFUSE,Yes,201310,AMERICAN FRIENDS OF D V I,198408,New York,29 W 57th St Ste 1200,501(c)(3),50511.0,159524.0,10019
Yes,New York,133202295,11,None Shown,No,201211,JACK ADJMI AND FAMILY FOUNDATION INC,198504,New York,463 7th Ave Fl 4,501(c)(3),191992.0,0.0,10018
No,New York,133202329,12,None Shown,No,201312,SERVICE FITTERS INDUSTRY PROMOTIONAL FUND OF NEW YORK,198406,New York,44 West 28th Street,501(c)(6),1081644.0,753796.0,10001
Yes,New York,133202333,12,% ALEXANDRA JACOBY TREASURER,No,201212,SOCIETY FOR MENSTRUAL CYCLE RESEARCH,198406,New York,333 East 45th Street,501(c)(3),0.0,0.0,10017
Yes,New York,133202337,06,None Shown,No,201306,BINA FOUNDATION INC,198405,New York,404 5th Ave,501(c)(3),5671.0,0.0,10018
Yes,New York,133202345,04,% MICHAEL A VARET,No,201304,MIDDLE ROAD FOUNDATION,198405,New York,Po Box 287440,501(c)(3),14611884.0,0.0,10128
Yes,New York,133202349,12,% WLRK T NORWITZ,Yes,201312,UNIVERSITY OF CAPE TOWN FUND INC,198405,New York,51 West 52nd Street,501(c)(3),477316.0,1231086.0,10019
No,New York,133202350,12,% U F A,Yes,201212,FIRE ALARM DISPATCHERS BENEVOLENT ASSOCIATION INC,198611,New York,139 Fulton Street,501(c)(5),75133.0,120100.0,10038
Yes,New York,133202374,12,None Shown,No,0,FIRST REFORMED EPISCOPAL CHURCH OF NEW YORK,196405,New York,317 E 50th St,501(c)(3),0.0,0.0,10022
Yes,New York,133202710,06,None Shown,Yes,201306,UNION SQUARE PARTNERSHIP DISTRICT MANAGEMENT ASSOCIATION INC,198408,New York,4 Irving Place Ste 1148s,501(c)(3),1024907.0,2018265.0,10003
Yes,New York,133203061,12,None Shown,No,0,FAITH MISSION BAPTIST CHURCH,199808,New York,155 W 117th St,501(c)(3),0.0,0.0,10026
Yes,New York,133203195,12,% NEW YORK STOCK EXCHANGE INC,No,201212,ICE NYSE FOUNDATION INC,198405,New York,11 Wall St,501(c)(3),9481200.0,0.0,10005
Yes,New York,133203211,06,None Shown,Yes,201306,CHINESE-AMERICAN PLANNING COUNCIL HOME ATTENDANT PROGRAM INC,198408,New York,1 York St Fl 2,501(c)(3),29830507.0,91119001.0,10013
Yes,New York,133203606,12,None Shown,Yes,201312,WORLD CONFERENCE OF JEWISH COMMUNAL SERVICE INC,198703,New York,711 Third Avenue No 10 Fl,501(c)(3),57577.0,69350.0,10017
Yes,New York,133203701,06,None Shown,Yes,201306,YOUTH ACTION PROGRAMS AND HOMES INC,198501,New York,20608 E 118th Street,501(c)(3),140598.0,1286952.0,10036
Yes,New York,133203975,12,% WINNIE TAM & CO,Yes,201312,DARIO SALAS INSTITUTE FOR HERMETIC SCIENCE INC,198502,New York,60 W 39th St 4th Fl E,501(c)(3),133209.0,122095.0,10018
Yes,New York,133204416,09,None Shown,No,0,THE GENERAL SYNOD OF THE REFORMED CHURCH IN AMERICA,198601,New York,475 Riverside Dr,501(c)(3),0.0,0.0,10115
Yes,New York,133204608,07,None Shown,No,201307,THEATRETWEED INC,198405,New York,332 Bleecker St Ste G 36,501(c)(3),25916.0,31549.0,10014
Yes,New York,133204610,06,% SAINT MICHAELS CHURCH,Yes,201306,CREATIVE ALTERNATIVES OF NEW YORK,198406,New York,153 W 27th St Ste 300,501(c)(3),889982.0,640413.0,10001
Yes,New York,133204618,06,None Shown,Yes,201306,SIXTH STREET COMMUNITY CENTER INC,198405,New York,638 E 6th St,501(c)(3),41827.0,246421.0,10009
Yes,New York,133204664,06,% BRIAN BRICKER,Yes,201306,ECUMENICAL COMMUNITY HOUSING OPPORTNITIES HSG DEVLPMT FUND CORP,198412,New York,902 Broadway Fl 13,501(c)(3),7007695.0,562313.0,10010
Yes,New York,133204997,06,None Shown,Yes,201306,ARCHIVES FOR RESEARCH IN ARCHETYPAL SYMBOLISM INC,198506,New York,28 E 39th St,501(c)(3),3599707.0,660951.0,10016
Yes,New York,133205023,06,None Shown,Yes,201306,LA CASA DE LA HERENCIA CULTURAL PUERTORRIQUENA INC,198406,New York,240 E 123rd St Suite 306,501(c)(3),41150.0,20665.0,10035
Yes,New York,133206226,10,None Shown,No,201310,UKRAINIAN AMERICAN COORDINATING COUNCIL INC,200103,New York,142 Second Avenue,501(c)(3),0.0,0.0,10003
Yes,New York,133206435,06,None Shown,Yes,201306,ST MARKS PLACE INSTITUTE FOR MENTAL HEALTH,198512,New York,57 Saint Marks Pl,501(c)(3),4520105.0,5332695.0,10003
Yes,New York,133206671,12,None Shown,Yes,201212,FRIENDS OF WASHINGTON HEIGHTS HATZOLOH INC C/O KAGANOFF,198411,New York,131 Bennett Ave,501(c)(3),965483.0,195828.0,10033
Yes,New York,133206807,12,% JAMES KARDON,No,201312,THE RIVERSIDE OPERA ENSEMBLE INC,198412,New York,488 Madison Ave Fl 14,501(c)(3),4236.0,300.0,10022
Yes,New York,133206848,06,None Shown,Yes,201306,LABAN BARTENIEFF INSTITUTE OF MOVEMENT STUDIES INC,198508,New York,520 8th Ave Rm 304,501(c)(3),158257.0,347299.0,10018
Yes,New York,133207018,06,% DAVID CALLAHAN,No,201406,NEW YORK FILM COUNCIL INC,196710,New York,Po Box 1685,501(c)(3),0.0,0.0,10185
Yes,New York,133207388,12,None Shown,No,201212,ANTHROPOSOPHICAL SOCIETY IN AMERICA NEW YORK BRANCH INC,198408,New York,138 West 15th Street,501(c)(3),760238.0,52162.0,10011
No,New York,133207645,12,None Shown,Yes,201212,WEIL GOTSHAL & MANGER EMPLOYEE HEALTH CARE TRUST,198811,New York,767 Fifth Ave,Other,459.0,25038375.0,10153
No,New York,133208060,12,None Shown,Yes,201312,ITALIAN WINE AND FOOD INSTITUTE INC,198406,New York,60 E 42nd St Ste 2214,501(c)(6),511460.0,178955.0,10165
Yes,New York,133208366,12,% ROSE FREIDMAN,Yes,201212,BIKUR CHOLIM OF MANHATTAN INC,198708,New York,Co Mrs R Friedman 180 Riverside Dr,501(c)(3),520926.0,244799.0,10024
Yes,New York,133208725,09,% MARKS PANETH,No,201309,THE MAURICE R & CORINNE P GREENBERG FOUNDATION INC,198411,New York,685 3rd Ave Frnt 5,501(c)(3),2057863.0,0.0,10017
No,New York,133209420,06,% SALLIE MULLINS THOMPSON,No,201306,NATIONAL ASSOCIATION OF WOMEN BUSINESS OWNERS INC NEW YORK CHAPT,198705,New York,Po Box 20126,501(c)(6),26957.0,13030.0,10014
Yes,New York,133209500,06,% MANGER & COMPANY,No,201006,I S 44 PARENTS ASSOCIATION INC,198603,New York,100 W 77th St,501(c)(3),128064.0,56989.0,10024
No,New York,133209616,12,% CHARNCELLOR ROBERT R LIVINGSTON,Yes,201312,CHANCELLOR ROBERT R LIVINSTON MASONIC LIBAREY OF THE LODGE,201103,New York,71 West 23rd Street,501(c)(3),1121531.0,383936.0,10010
Yes,New York,133209626,06,None Shown,No,201306,SOUTH MANHATTAN DEVELOPMENT CORPORATION,198409,New York,286 3rd Ave,501(c)(3),0.0,0.0,10010
Yes,New York,133209637,08,% RUTH N BARRATT,No,201208,TRIANGLE ARTS ASSOCIATION LIMITED,198408,New York,110 Greene St Ste 8r,501(c)(3),35972.0,101611.0,10012
Yes,New York,133209791,12,% MARTIN L MARKOWITZ,No,201312,YARON FOUNDATION INC,198409,New York,525 E 86th St Apt 15h,501(c)(3),245381.0,0.0,10028
Yes,New York,133210299,06,None Shown,Yes,201306,OUR CHILDRENS FOUNDATION INC,198408,New York,527 W 125th St,501(c)(3),2110182.0,1193191.0,10027
Yes,New York,133210952,12,None Shown,Yes,201212,ARTISTIC NEW DIRECTIONS INC,198705,New York,250 W 90th St Apt 15g,501(c)(3),14617.0,61820.0,10024
No,New York,133211019,12,None Shown,Yes,201312,INDIAN DIAMOND & COLORSTONE ASSOC INC,198507,New York,56 W 45th St Ste 705,501(c)(6),384601.0,437981.0,10036
Yes,New York,133211669,12,None Shown,No,201312,U S TIBET COMMITTEE INC,198503,New York,241 E 32nd St,501(c)(3),0.0,0.0,10016
No,New York,133211764,12,None Shown,Yes,201312,BARR & BARR INC EMPLOYEES HEALTH AND WELFARE BENEFITS TRUST,198407,New York,460 W 34th St,Other,1843288.0,59105.0,10001
Yes,New York,133211983,06,% DAVID M POLLOCK,No,201306,UNIVERSAL TORAH REGISTRY INC,199001,New York,225 W 34th St,501(c)(3),0.0,0.0,10122
Yes,New York,133212077,12,% CHADBOURNE & PARKE,Yes,201212,AMERICAN FRIENDS OF THE VICTORIA AND ALBERT MUSEUM INC,198407,New York,1301 Avenue Of The Americas 23,501(c)(3),2336120.0,823212.0,10019
No,New York,133212090,12,None Shown,Yes,201312,TELEVISON MUSIC LICENSE COMMITTEE,198408,New York,20623,501(c)(6),477285.0,4891736.0,10075
Yes,New York,133212092,12,% RASKIN & KRENMINS LLP,Yes,201312,JEWISH LAWYERS GUILD INC,198412,New York,160 Broadway,501(c)(3),47445.0,74395.0,10038
Yes,New York,133212724,12,% ROCKEFELLER TRUST COMPANYN,No,201212,TRUST FOR MUTUAL UNDERSTANDING,198411,New York,6 W 48th St Fl 12,501(c)(3),29741773.0,0.0,10036
Yes,New York,133212867,12,% STEVEN SMITH,Yes,201212,BROADWAY HOUSING COMMUNITIES INC,199109,New York,10 Fort Washington Avenue Ph,501(c)(3),13083762.0,10709219.0,10032
Yes,New York,133213081,06,None Shown,Yes,201306,FAMILY CARE SERVICES,198408,New York,5 Penn Plaza - 12 Fl Genl Acct,501(c)(3),9158295.0,19055176.0,10001
Yes,New York,133213089,12,None Shown,No,201312,CENTRAL PARK WEST PRESERVATION COMMITTEE,198501,New York,36 W 76th St,501(c)(3),5456.0,3.0,10023
Yes,New York,133213185,12,% WINDELS ET AL,No,201312,THE HELEN MATCHETT DEMARIO FOUNDATION INC,198408,New York,156 W 56th St,501(c)(3),1966091.0,0.0,10019
Yes,New York,133213236,12,None Shown,Yes,201312,F H COMMUNITY LIVING PROGRAM INC,198908,New York,425 W 47th St,501(c)(3),1246449.0,358078.0,10036
Yes,New York,133213301,12,None Shown,Yes,201312,RURAL DEVELOPMENT LEADERSHIP NETWORK INC,198411,New York,Po Box 98,501(c)(3),242030.0,90501.0,10012
Yes,New York,133213484,08,% ARCO MANAGEMENT,Yes,201308,PRINCE HALL HOUSING DEVELOPMENT FUND COMPANY INC,198501,New York,200 W 57th St Ste 702,501(c)(3),1744993.0,1600843.0,10019
Yes,New York,133213510,10,None Shown,Yes,201310,BRIDGEHAMPTON CHAMBER MUSIC ASSOCIATES INC,198508,New York,850 Seventh Ave Suite 700,501(c)(3),902818.0,609782.0,10019
Yes,New York,133213525,03,% ALL ANGELS CHURCH,Yes,201303,JERICHO PROJECT,198409,New York,245 West 29th St,501(c)(3),7933510.0,3666639.0,10001
Yes,New York,133213849,12,None Shown,Yes,201312,TOWN HOUSE INTL SCHOOL OF FILIPINAS AMERICAS SCIENCE & ART FOUNDATION,197801,New York,1209 Park Ave,501(c)(3),635966.0,797790.0,10128
No,New York,133213947,12,% C MALONE,No,201212,METROPOLITAN ASSN OF DOLL & STUFFED TOY & PLASTIC INC,196205,New York,521 5th Ave Fl 10,501(c)(6),0.0,0.0,10175
Yes,New York,133214064,06,% MS JULIA LEWIS,Yes,201306,THE DAWNING VILLAG INC,199712,New York,2090 1st Ave,501(c)(3),241703.0,898667.0,10029
No,New York,133214395,12,% MARY ANN GILLESPIE,No,201312,INTERNATIONAL LONGSHOREMENS ASSOCIATION,194102,New York,77 Water St 16th Floor,501(c)(5),0.0,0.0,10005
Yes,New York,133214800,12,None Shown,No,0,GREATER EMANUEL BAPTIST CHURCH,198406,New York,323 E 11th St,501(c)(3),0.0,0.0,10003
Yes,New York,133215205,12,None Shown,Yes,201212,AMERICAN JEWISH HERITAGE ORGANIZATION INC,198409,New York,2440 Broadway,501(c)(3),33790.0,53454.0,10024
Yes,New York,133215436,06,None Shown,Yes,201306,ACCESS HOUSE INC,199304,New York,2 Washington St Fl 9,501(c)(3),604173.0,441890.0,10004
